| 2021:04:26 12:24:43,049 | I | root | ------
| 2021:04:26 12:24:43,062 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2021:04:26 12:24:44,429 | D | asyncio | Using selector: EpollSelector
| 2021:04:26 12:24:44,461 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2021:04:26 12:24:44,476 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2021:04:26 12:24:44,491 | I | root | lib/conn_util.py +78 MongoMixin MONGO	Report Database has been Initialized!
| 2021:04:26 12:24:44,530 | I | root | lib/conn_util.py +107 FirebaseMixin Firebase	has been Initialization Failed! 'cred'
| 2021:04:26 12:24:44,555 | E | STDERR | Traceback (most recent call last):
| 2021:04:26 12:24:44,555 | E | STDERR |   File "./mtime_server_run.py", line 4, in <module>
| 2021:04:26 12:24:44,555 | E | STDERR |     from common import *
| 2021:04:26 12:24:44,555 | E | STDERR |   File "/home/soumik/work/app_builder/ether/api_core/server/web/common.py", line 25, in <module>
| 2021:04:26 12:24:44,555 | E | STDERR |     from .forms.forms import FormsHandler
| 2021:04:26 12:24:44,555 | E | STDERR |   File "/home/soumik/work/app_builder/ether/api_core/server/web/forms/forms.py", line 134
| 2021:04:26 12:24:44,555 | E | STDERR |     Log.i(body)
| 2021:04:26 12:24:44,555 | E | STDERR |     ^
| 2021:04:26 12:24:44,555 | E | STDERR | SyntaxError: invalid syntax
| 2021:04:26 12:24:54,725 | I | root | ------
| 2021:04:26 12:24:54,737 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2021:04:26 12:24:56,001 | D | asyncio | Using selector: EpollSelector
| 2021:04:26 12:24:56,033 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2021:04:26 12:24:56,048 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2021:04:26 12:24:56,065 | I | root | lib/conn_util.py +78 MongoMixin MONGO	Report Database has been Initialized!
| 2021:04:26 12:24:56,100 | I | root | lib/conn_util.py +107 FirebaseMixin Firebase	has been Initialization Failed! 'cred'
| 2021:04:26 12:24:56,124 | E | STDERR | Traceback (most recent call last):
| 2021:04:26 12:24:56,124 | E | STDERR |   File "./mtime_server_run.py", line 4, in <module>
| 2021:04:26 12:24:56,124 | E | STDERR |     from common import *
| 2021:04:26 12:24:56,124 | E | STDERR |   File "/home/soumik/work/app_builder/ether/api_core/server/web/common.py", line 25, in <module>
| 2021:04:26 12:24:56,124 | E | STDERR |     from .forms.forms import FormsHandler
| 2021:04:26 12:24:56,124 | E | STDERR |   File "/home/soumik/work/app_builder/ether/api_core/server/web/forms/forms.py", line 134
| 2021:04:26 12:24:56,124 | E | STDERR |     Log.i('test', body)
| 2021:04:26 12:24:56,124 | E | STDERR |     ^
